timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec
2026-05-04T13:46:35.477Z,UChRXOitBgiQ8gv92gAqPiHA,@chesteradrian3775,First,neutral,first,textMessageEvent,,48.255
2026-05-04T13:47:47.376Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#LEC,high-energy,all caps reaction,textMessageEvent,,120.124
2026-05-04T13:47:50.604Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,LETS GOOOOO!,high-energy,all caps reaction,textMessageEvent,,123.325
2026-05-04T13:47:59.000Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#VVIT vs FNC,neutral,vvit vs fnc,textMessageEvent,,131.801
2026-05-04T13:48:05.559Z,UCSAlabjgGvtD6S_z-LXLnqw,@Boood,WOW,neutral,wow,textMessageEvent,,138.265
2026-05-04T13:48:27.096Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,how many wins need fnc to are in top 6 ?,questioning,question,textMessageEvent,,159.746
2026-05-04T13:48:27.325Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,159.981
2026-05-04T13:48:40.188Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661, MODS    ,high-energy,all caps reaction,textMessageEvent,,172.808
2026-05-04T13:49:09.963Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@rafaelworndl8391 Arent they Top 6 now?,questioning,question,textMessageEvent,,202.986
2026-05-04T13:49:29.117Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,i dont think jet,neutral,i dont think,textMessageEvent,,221.828
2026-05-04T13:49:44.904Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,whats up guys ,neutral,whats up guys,textMessageEvent,,237.712
2026-05-04T13:50:46.161Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,FNC need one more win or? for top6? i dont know,questioning,question,textMessageEvent,,298.987
2026-05-04T13:50:47.183Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,Hello chat <3,neutral,hello chat 3,textMessageEvent,,300.009
2026-05-04T13:53:09.677Z,UCTxRwmJAOqI0EcYfb8kuzQw,@dasebrijn,fnatic is 3w 5l,neutral,fnatic is 3w,textMessageEvent,,442.371
2026-05-04T13:53:27.810Z,UCTxRwmJAOqI0EcYfb8kuzQw,@dasebrijn,and they're 7th place now,neutral,and they're 7th,textMessageEvent,,460.641
2026-05-04T13:54:47.906Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,"yeah, so one more win for play Off?",questioning,question,textMessageEvent,,540.562
2026-05-04T13:55:25.400Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@V1C0vv Whoa re ya rooting for today?,questioning,question,textMessageEvent,,578.055
2026-05-04T13:55:42.928Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@V1C0vv Im Looking at FNC and MKOI,neutral,v1c0vv im looking,textMessageEvent,,595.739
2026-05-04T13:56:05.723Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,618.417
2026-05-04T13:57:33.058Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,@nathanhawkins6661 kinda for FNC so they can have the chance for playoffs,neutral,nathanhawkins6661 kinda for,textMessageEvent,,705.806
2026-05-04T13:59:43.062Z,UCZqZwapDwFOSTX8uW8FPA_A,@franckielouann4651,Good luck! ,neutral,good luck,textMessageEvent,,835.784
2026-05-04T13:59:46.586Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,FNC probably won't make playoffs even with a win today,neutral,fnc probably won't,textMessageEvent,,839.276
2026-05-04T13:59:50.159Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,If FNC win today how much of a chance they get,neutral,if fnc win,textMessageEvent,,842.992
2026-05-04T14:00:16.861Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,They need Mkoi or G2 to lose all their remaining games,neutral,they need mkoi,textMessageEvent,,869.628
2026-05-04T14:00:22.285Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Check out the LEC merch collection here: https://eu.nationsgamingclub.com/,neutral,check out the,textMessageEvent,,875.024
2026-05-04T14:00:34.571Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,If they lose today they are Out ?,questioning,question,textMessageEvent,,887.271
2026-05-04T14:00:44.791Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,neutral,follow lec on,textMessageEvent,,897.537
2026-05-04T14:01:05.848Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,neutral,remember to follow,textMessageEvent,,918.678
2026-05-04T14:01:06.828Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,Yes,neutral,yes,textMessageEvent,,919.62
2026-05-04T14:01:13.527Z,UCBPDGZ-iv0rr1e0um33XpGg,@netrixdd,"fnatic are out, they are not beating vitality lol",positive/humor,laughing reaction,textMessageEvent,,926.182
2026-05-04T14:01:20.947Z,UCBPDGZ-iv0rr1e0um33XpGg,@netrixdd,idk why are u coping they have chance,neutral,idk why are,textMessageEvent,,933.634
2026-05-04T14:01:27.325Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,940.081
2026-05-04T14:01:46.001Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",neutral,we understand you,textMessageEvent,,958.923
2026-05-04T14:02:05.673Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,they need 2 mirical Games or they can say good by,neutral,they need 2,textMessageEvent,,978.39
2026-05-04T14:02:35.832Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,MKOI and G2 losing all remaining games sound impossible ,neutral,mkoi and g2,textMessageEvent,,1008.575
2026-05-04T14:04:15.708Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,it's jover for fnc,neutral,it's jover for,textMessageEvent,,1108.504
2026-05-04T14:04:46.013Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,"Yep, it's okay though, we don't want this team at internationals",neutral,yep it's okay,textMessageEvent,,1138.957
2026-05-04T14:05:00.036Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,Miracle can always happen (cope),neutral,miracle can always,textMessageEvent,,1152.855
2026-05-04T14:05:08.839Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,the Chance for FNC is 30/70 xd,neutral,the chance for,textMessageEvent,,1161.581
2026-05-04T14:05:40.202Z,UCMW2OtfGn37HMZO5DY3vbFA,@nabiljaelani4547,lol,positive/humor,laughing reaction,textMessageEvent,,1192.997
2026-05-04T14:05:42.430Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,It depend on their winning and 2 very strong team lose,neutral,it depend on,textMessageEvent,,1195.197
2026-05-04T14:07:48.661Z,UCmlfQwWFRjb5Hj35Yc5WKVQ,@h.kaanmuku6259,wtf is this song,negative,criticism,textMessageEvent,,1321.361
2026-05-04T14:08:16.878Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,1349.831
2026-05-04T14:08:22.579Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,"the 2 strong Team will win, If they Play the Last week they will lose 0/2 If they Play Like vs g2 they have a chance",neutral,the 2 strong,textMessageEvent,,1355.367
2026-05-04T14:08:31.012Z,UCLagHuCAKZD5gEhVKWhIpSQ,@efesians,My FNC has fallen 🫩,neutral,my fnc has,textMessageEvent,,1363.754
2026-05-04T14:10:05.206Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,MKOI international is problematic but in LEC they are different beast SHFT not going to beat them,neutral,mkoi international is,textMessageEvent,,1457.975
2026-05-04T14:19:40.824Z,UCP49I-uFsqmcVGj0qVjkSjA,@yassinebadaoui2048,can't wait to see fnc throwing again xd,neutral,can't wait to,textMessageEvent,,2033.569
2026-05-04T14:20:17.930Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,they won't have anything to throw xD,neutral,they won't have,textMessageEvent,,2070.661
2026-05-04T14:21:27.903Z,UCU1exaX1_kyizRe7R9jJGiQ,@Caio-d3i,i'm bad at this game,negative,criticism,textMessageEvent,,2140.613
2026-05-04T14:22:12.640Z,UCHOY7RhGKUxUUsTAT37dSDw,@สิดาภรณ์จีบสุวรรณ,2-0,neutral,2 0,textMessageEvent,,2185.389
2026-05-04T14:22:58.342Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,I only hope FNC don't explode,neutral,i only hope,textMessageEvent,,2231.17
2026-05-04T14:23:25.464Z,UCUyqe75PeUPw12PRzH50plQ,@SpiritdragonR,Amazing music,neutral,amazing music,textMessageEvent,,2258.156
2026-05-04T14:24:12.141Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,2304.864
2026-05-04T14:26:25.995Z,UC3_7c_55oF-T-QR6wGqlXKw,@DannOnTheLand,FNC lose MKOI win and that's it right? 6 playoff teams decided?,questioning,question,textMessageEvent,,2438.778
2026-05-04T14:27:09.054Z,UCpx76wi-3fwSgWkaLbFMD1Q,@RudyRex,is this the type of music EU listens to? ,questioning,question,textMessageEvent,,2481.851
2026-05-04T14:27:33.369Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@RudyRex yes bro this is a banger haha jk ,positive/humor,laughing reaction,textMessageEvent,,2506.072
2026-05-04T14:28:21.397Z,UCI2nI0Jaq5jPRkANKx4YiuA,@MrNarutofreak100,@RudyRex they use same music for lec and lcs mong,neutral,rudyrex they use,textMessageEvent,,2554.135
2026-05-04T14:28:35.778Z,UC19h6R7sbFugRDFFdS5-f6A,@Baldeehh,I like bears,neutral,i like bears,textMessageEvent,,2568.549
2026-05-04T14:28:43.753Z,UCDV_iKA9CVpPE-0jjj0ksVQ,@benjaminnaylor2935,I like turtles,neutral,i like turtles,textMessageEvent,,2576.435
2026-05-04T14:29:06.824Z,UCDV_iKA9CVpPE-0jjj0ksVQ,@benjaminnaylor2935,it will be VIT 2-0 top gap,neutral,it will be,textMessageEvent,,2599.594
2026-05-04T14:29:16.668Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@benjaminnaylor2935 ninja turtles ? ,questioning,question,textMessageEvent,,2609.401
2026-05-04T14:30:15.420Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,neutral,follow lec on,textMessageEvent,,2668.213
2026-05-04T14:30:36.480Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,neutral,remember to follow,textMessageEvent,,2689.362
2026-05-04T14:30:54.494Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",neutral,we understand you,textMessageEvent,,2707.195
2026-05-04T14:31:38.501Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,SLY is an appropriate team name because they played and discarded FNC from the competition,neutral,sly is an,textMessageEvent,,2751.202
2026-05-04T14:31:49.352Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,*badum tss,negative,criticism,textMessageEvent,,2762.099
2026-05-04T14:32:05.584Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,2778.392
2026-05-04T14:32:31.944Z,UC6sXuGtNWQtUFKP7tOeEKWQ,@seanjug,!casters,neutral,casters,textMessageEvent,,2804.697
2026-05-04T14:32:34.304Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Medic is your host for today! Dagda and Odoamne are on the analyst desk. Your casters will be Hysterics and Vedius.,neutral,medic is your,textMessageEvent,,2807.11
2026-05-04T14:32:48.884Z,UC6sXuGtNWQtUFKP7tOeEKWQ,@seanjug,damn a medic host,neutral,damn a medic,textMessageEvent,,2821.621
2026-05-04T14:32:49.019Z,UCYSGbhMj5SrCPNJqgoxiYGQ,@konradkozio8623,Who is WORSE FNC or SK? ,questioning,question,textMessageEvent,,2821.763
2026-05-04T14:33:49.049Z,UC1MTU5uAp8ExpsVqQfSfOtg,@pleasecallmestupid7543,FNC,neutral,fnc,textMessageEvent,,2881.721
2026-05-04T14:36:09.634Z,UCR8sHt4VnBEC8mLw0pC9hxg,@Matt-kd8xx,Shift,neutral,shift,textMessageEvent,,3022.392
2026-05-04T14:37:43.649Z,UCaMyraAWrKtXI3BW-LsYTxQ,@ElxCriiO,lr>shft,neutral,lr shft,textMessageEvent,,3116.384
2026-05-04T14:38:23.466Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,hmmm,neutral,hmmm,textMessageEvent,,3156.329
2026-05-04T14:38:40.399Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,the first series is a battle to the bottom and the second one is a father and son bonding session,neutral,the first series,textMessageEvent,,3173.196
2026-05-04T14:39:06.033Z,UCFdoOrkN_kCUnmJJ7hKZdEw,@martinkaradjov6153,"Fnc then now forever, FNC win as usual",neutral,fnc then now,textMessageEvent,,3198.759
2026-05-04T14:39:06.770Z,UC9RHcwC22YAi5BSYr42XbNw,@Sonjanyah,oh I'm too early be back later,neutral,oh i'm too,textMessageEvent,,3199.563
2026-05-04T14:39:16.350Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,wait no both series are father and son bonding session I forgot FNC has been woeful recently sadeg,neutral,wait no both,textMessageEvent,,3209.27
2026-05-04T14:39:36.956Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,@Sonjanyah yeah I'm here to look at the baby goat ad,neutral,sonjanyah yeah i'm,textMessageEvent,,3229.664
2026-05-04T14:39:56.159Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,WHERE IS MY BABY GOAT,high-energy,all caps reaction,textMessageEvent,,3249.169
2026-05-04T14:40:16.148Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,3268.884
2026-05-04T14:40:59.150Z,UCiV9ZvQxBLOTf3gvGFk2bSw,@SiddharthPrabhu1983,MOAN CHAIR,high-energy,all caps reaction,textMessageEvent,,3311.876
2026-05-04T14:42:09.977Z,UCIsvt1Kc9U2CbcQyEf-D44g,@Huddison,Did I miss Moan Chair?,questioning,question,textMessageEvent,,3382.711
2026-05-04T14:42:22.161Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,yea with a seconds ,neutral,yea with a,textMessageEvent,,3394.906
2026-05-04T14:42:31.482Z,UCIsvt1Kc9U2CbcQyEf-D44g,@Huddison, ,unclear,empty message,textMessageEvent,,3404.216
2026-05-04T14:42:37.438Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,yea you did ,neutral,yea you did,textMessageEvent,,3410.266
2026-05-04T14:42:41.714Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,and they goosed me out of babygoat,neutral,and they goosed,textMessageEvent,,3414.498
2026-05-04T14:43:45.342Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,somehow their poses remind me of the ragebait monkey meme LOL ,positive/humor,laughing reaction,textMessageEvent,,3478.063
2026-05-04T14:43:48.045Z,UCVwJ86nVeHMEXsaG-wC7RAw,@NightcorePiika,@Sha0wMan1 chef how you doin?,questioning,question,textMessageEvent,,3480.777
2026-05-04T14:43:53.176Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,the one where the lion is screaming at a monkey ,neutral,the one where,textMessageEvent,,3485.909
2026-05-04T14:44:07.650Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@NightcorePiika working haha wbu ,positive/humor,laughing reaction,textMessageEvent,,3500.428
2026-05-04T14:45:11.611Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",neutral,we understand you,textMessageEvent,,3564.409
2026-05-04T14:45:18.606Z,UCVwJ86nVeHMEXsaG-wC7RAw,@NightcorePiika,@Sha0wMan1 experimenting with ai coding beside the waiting lol ,positive/humor,laughing reaction,textMessageEvent,,3571.285
