timestamp,author_channel_id,display_name,message_text,message_type,super_chat_amount,video_offset_sec
2026-05-04T13:46:35.477Z,UChRXOitBgiQ8gv92gAqPiHA,@chesteradrian3775,First,textMessageEvent,,48.255
2026-05-04T13:47:47.376Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#LEC,textMessageEvent,,120.124
2026-05-04T13:47:50.604Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,LETS GOOOOO!,textMessageEvent,,123.325
2026-05-04T13:47:59.000Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#VVIT vs FNC,textMessageEvent,,131.801
2026-05-04T13:48:05.559Z,UCSAlabjgGvtD6S_z-LXLnqw,@Boood,WOW,textMessageEvent,,138.265
2026-05-04T13:48:27.096Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,how many wins need fnc to are in top 6 ?,textMessageEvent,,159.746
2026-05-04T13:48:27.325Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,159.981
2026-05-04T13:48:40.188Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661, MODS    ,textMessageEvent,,172.808
2026-05-04T13:49:09.963Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@rafaelworndl8391 Arent they Top 6 now?,textMessageEvent,,202.986
2026-05-04T13:49:29.117Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,i dont think jet,textMessageEvent,,221.828
2026-05-04T13:49:44.904Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,whats up guys ,textMessageEvent,,237.712
2026-05-04T13:50:46.161Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,FNC need one more win or? for top6? i dont know,textMessageEvent,,298.987
2026-05-04T13:50:47.183Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,Hello chat <3,textMessageEvent,,300.009
2026-05-04T13:53:09.677Z,UCTxRwmJAOqI0EcYfb8kuzQw,@dasebrijn,fnatic is 3w 5l,textMessageEvent,,442.371
