stream_id,timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec,duration_sec,relative_time,rel_time_pct,rel_bin_20,rel_bin_label
oxUSw1N9i3k,2026-05-04T13:46:35.477Z,UChRXOitBgiQ8gv92gAqPiHA,@chesteradrian3775,First,neutral,first,textMessageEvent,,48.255,24477.876,0.0019713720259061695,0.19713720259061696,0,0-5%
oxUSw1N9i3k,2026-05-04T13:47:47.376Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#LEC,high-energy,all caps reaction,textMessageEvent,,120.124,24477.876,0.004907451937414831,0.49074519374148307,0,0-5%
oxUSw1N9i3k,2026-05-04T13:47:50.604Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,LETS GOOOOO!,high-energy,all caps reaction,textMessageEvent,,123.325,24477.876,0.005038223087656789,0.5038223087656789,0,0-5%
oxUSw1N9i3k,2026-05-04T13:47:59.000Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#VVIT vs FNC,neutral,vvit vs fnc,textMessageEvent,,131.801,24477.876,0.005384494961899472,0.5384494961899472,0,0-5%
oxUSw1N9i3k,2026-05-04T13:48:05.559Z,UCSAlabjgGvtD6S_z-LXLnqw,@Boood,WOW,neutral,wow,textMessageEvent,,138.265,24477.876,0.005648570161888229,0.5648570161888229,0,0-5%
oxUSw1N9i3k,2026-05-04T13:48:27.096Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,how many wins need fnc to are in top 6 ?,questioning,question,textMessageEvent,,159.746,24477.876,0.006526138133880571,0.652613813388057,0,0-5%
oxUSw1N9i3k,2026-05-04T13:48:27.325Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,159.981,24477.876,0.00653573864006828,0.6535738640068279,0,0-5%
oxUSw1N9i3k,2026-05-04T13:48:40.188Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661, MODS    ,high-energy,all caps reaction,textMessageEvent,,172.808,24477.876,0.00705976286504597,0.7059762865045971,0,0-5%
oxUSw1N9i3k,2026-05-04T13:49:09.963Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@rafaelworndl8391 Arent they Top 6 now?,questioning,question,textMessageEvent,,202.986,24477.876,0.008292631272419224,0.8292631272419224,0,0-5%
oxUSw1N9i3k,2026-05-04T13:49:29.117Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,i dont think jet,neutral,i dont think,textMessageEvent,,221.828,24477.876,0.009062387602584474,0.9062387602584474,0,0-5%
