stream_id,timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec,duration_sec,relative_time,rel_time_pct,rel_bin_20,rel_bin_label
vUmNslJBba0,2026-04-26T13:48:43.982Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,Hello chat <3,neutral,hello chat 3,textMessageEvent,,152.033,28022.668,0.005425357785347204,0.5425357785347205,0,0-5%
vUmNslJBba0,2026-04-26T13:49:33.849Z,UCyWNfPMPlACxGrPCwHVxgLg,@nikolavujic3856,someone flex eune?,questioning,question,textMessageEvent,,201.579,28022.668,0.007193426407506951,0.7193426407506951,0,0-5%
vUmNslJBba0,2026-04-26T13:51:24.001Z,UCClffJSVBarCYv2iQibwwog,@peng_yang,lmao,positive/humor,laughing reaction,textMessageEvent,,311.765,28022.668,0.011125457433246541,1.1125457433246542,0,0-5%
vUmNslJBba0,2026-04-26T13:51:45.145Z,UCBXkYxF5OOA2afM5u_B_zfg,@Switchioh,IM FROM JAPAN,high-energy,all caps reaction,textMessageEvent,,333.035,28022.668,0.011884485802708008,1.1884485802708007,0,0-5%
vUmNslJBba0,2026-04-26T13:52:18.899Z,UCe3aQ3wQqQLN_jbOtKp-V0w,@BryIMG98,hi,neutral,hi,textMessageEvent,,366.765,28022.668,0.013088154204303457,1.3088154204303457,0,0-5%
vUmNslJBba0,2026-04-26T13:53:14.852Z,UCmW3gDe4GQrDfr0ip92w-DA,@Allex7,can fanatic still make playoffs if they lose today ?,questioning,question,textMessageEvent,,422.678,28022.668,0.01508343174175992,1.508343174175992,0,0-5%
vUmNslJBba0,2026-04-26T13:54:40.205Z,UCLKGLk8FGFRikcX11_EcgTQ,@Quietics,LEC!,high-energy,all caps reaction,textMessageEvent,,507.916,28022.668,0.018125183512148094,1.8125183512148095,0,0-5%
vUmNslJBba0,2026-04-26T13:56:11.806Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,599.678,28022.668,0.021399746804979452,2.139974680497945,0,0-5%
vUmNslJBba0,2026-04-26T13:56:35.946Z,UCLKGLk8FGFRikcX11_EcgTQ,@Quietics,NAVI and KC are my picks for today's matches. :D,neutral,navi and kc,textMessageEvent,,623.699,28022.668,0.0222569456983896,2.22569456983896,0,0-5%
vUmNslJBba0,2026-04-26T14:03:42.920Z,UCxdTSEJCCCqdWpaLyb645iw,@3rdBuzz,yeah pretty obvious favorites today,neutral,yeah pretty obvious,textMessageEvent,,1050.683,28022.668,0.03749403875462536,3.7494038754625363,0,0-5%
